index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Stigmata,Dear Frankie,The Devil's Own,Angela's Ashes,It's All Gone Pete Tong,Million Dollar Baby,The Visual Bible: The Gospel of John,Arn: The Knight Templar,A Few Good Men,The Young Messiah,The Passion of the Christ
Men of Honor,Proud,Flight of the Intruder,American Sniper,The Hunt for Red October,Flags of Our Fathers,Find Me Guilty,The Express,A Dangerous Method,Red Tails,The Great Debaters
Takers,Closer to the Moon,Triple 9,12 Rounds,Bandits,No Man's Land: The Rise of Reeker,The Long Riders,The Newton Boys,High Heels and Low Lifes,Rambo: First Blood Part II,Firestorm
The Big Wedding,The Muppet Christmas Carol,Rabbit Hole,The Dead Zone,Midnight in Paris,There's Always Woodstock,Cloud Atlas,Love Stinks,Red River,Our Family Wedding,Monster-in-Law
"Big Mommas: Like Father, Like Son",Big Momma's House 2,Slow West,Big Momma's House,Fame,Happy Christmas,Domestic Disturbance,Raise Your Voice,Disturbia,Partition,Eye for an Eye
Source Code,Train,Mrs. Winterbourne,On The Downlow,Ghost Town,Faith Connections,Blood and Chocolate,The Missing Person,Only the Strong,Max Keeble's Big Move,Criminal
Alive,We Are Marshall,Stay Alive,Dawn of the Planet of the Apes,Safe House,Seabiscuit,The Martian,Strange Wilderness,In the Heart of the Sea,Enter Nowhere,Invictus
The Number 23,The Ninth Gate,You've Got Mail,Chasing Amy,Joy,Miracles from Heaven,The NeverEnding Story,Twixt,The Secret of Kells,In Cold Blood,Evita
The Young and Prodigious T.S. Spivet,Domestic Disturbance,Flicka,The Exorcist,Heli,Safe,Casa De Mi Padre,Pay It Forward,About a Boy,#Horror,Catch That Kid
1941,Tora! Tora! Tora!,Pearl Harbor,Unbroken,13 Hours: The Secret Soldiers of Benghazi,Black Rain,City of Life and Death,Australia,Brother,Atlas Shrugged Part II,A Mighty Heart
Dreamer: Inspired By a True Story,White House Down,Free Style,The Ballad of Gregorio Cortez,Of Horses and Men,Spirit: Stallion of the Cimarron,Fever Pitch,Dragonslayer,Drive Angry,Auto Focus,Outside Bet
A History of Violence,Diner,Dickie Roberts: Former Child Star,Blood and Wine,A Cinderella Story,Deterrence,The Sound and the Shadow,Gone Girl,Imaginary Heroes,L.A. Confidential,Kingdom of Heaven
Transporter 2,The Transporter Refueled,The Naked Gun 33⅓: The Final Insult,The Transporter,Hot Rod,Cellular,Nicholas Nickleby,Duma,Everybody's Fine,Escobar: Paradise Lost,Screwed
The Quick and the Dead,Femme Fatale,Punch-Drunk Love,Slow West,A Million Ways to Die in the West,The Forest,The Specialist,Forsaken,Christmas Mail,Western Religion,Kites
Laws of Attraction,Mutual Friends,Please Give,Alvin and the Chipmunks: The Road Chip,Midnight Cowboy,Frances Ha,How to Be Single,Dead Man Down,Deuces Wild,The Out-of-Towners,I Am Legend
Bringing Out the Dead,The Naked Gun 33⅓: The Final Insult,Hot Rod,Everybody's Fine,Scrooged,FearDotCom,Robot & Frank,Seventh Son,The Transporter Refueled,Bully,Transporter 2
Repo Men,Stealth,The Kids Are All Right,Ratatouille,Maze Runner: The Scorch Trials,From Russia with Love,Lars and the Real Girl,John Q,A Better Life,The Kingdom,Megiddo: The Omega Code 2
Bogus,Duma,The Night Listener,Goosebumps,Imagine That,Shorts,Letters to God,Secondhand Lions,Shipwrecked,Hesher,The Incredible Burt Wonderstone
The Incredible Burt Wonderstone,Thunder and the House of Magic,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,The Immigrant,Bogus,Fright Night,The League of Extraordinary Gentlemen,The Curse of the Jade Scorpion,Dave Chappelle's Block Party,You Got Served,Brown Sugar
Cats Don't Dance,Bowfinger,The Artist,Last Action Hero,A Turtle's Tale: Sammy's Adventures,8 Mile,Requiem for a Dream,Crazy in Alabama,Desert Dancer,An American in Hollywood,Nancy Drew
Cradle Will Rock,The Monuments Men,Hachi: A Dog's Tale,Fame,The Iceman,The Heart of Me,50/50,Seabiscuit,Chariots of Fire,Me and Orson Welles,Proud
The Good German,Reds,Das Boot,Antiviral,The Thin Red Line,Little Boy,All Good Things,Twixt,Lake of Fire,Saints and Soldiers,Fort McCoy
George and the Dragon,Dragon Nest: Warriors' Dawn,Free State of Jones,How to Train Your Dragon 2,Kingdom of Heaven,Dragonslayer,DragonHeart,Krampus,How to Train Your Dragon,Dragon Hunters,Hayride
Apocalypse Now,We Were Soldiers,Journey from the Fall,Rescue Dawn,The Expendables 2,First Blood,Born on the Fourth of July,Julia,Force 10 from Navarone,Star Trek: Nemesis,Flight of the Intruder
Going the Distance,Be Cool,"Bright Lights, Big City",Groove,The Devil Wears Prada,Striptease,The Other End of the Line,Amidst the Devil's Wings,Pat Garrett & Billy the Kid,The Glass House,Dawn of the Planet of the Apes
Mr. Holland's Opus,Election,Freedom Writers,Renaissance Man,Here Comes the Boom,School of Rock,Bad Teacher,21 Jump Street,Snow Angels,Notes on a Scandal,Special
Criminal,Bad Company,Double Take,Dying of the Light,Once Upon a Time in Mexico,The November Man,Waltz with Bashir,The Man from U.N.C.L.E.,Meet the Parents,Face/Off,Compadres
Out of Africa,The Last Exorcism Part II,Where the Heart Is,The Grudge,The Looking Glass,Love and Other Catastrophes,Cry Freedom,The Love Letter,How Green Was My Valley,The Inhabited Island,Girl with a Pearl Earring
Flight,La Bamba,Final Destination,The Longest Ride,Monkeybone,We Are Marshall,The Grey,A Sound of Thunder,The Core,Turbulence,Letters to God
Moonraker,Lifeforce,Gravity,You Only Live Twice,The Invasion,The Living Daylights,Octopussy,Lost in Space,Space Pirate Captain Harlock,Diamonds Are Forever,Dr. No
The Grand Budapest Hotel,The Second Best Exotic Marigold Hotel,Warlock,Dirty Pretty Things,The Best Exotic Marigold Hotel,Bobby,Hotel Transylvania 2,The Wendell Baker Story,The Love Letter,Dogma,Illuminata
Hearts in Atlantis,Departure,The Matador,Labor Day,Slackers,Big Momma's House,Betty Fisher and Other Stories,High Plains Drifter,Nerve,Aloft,Character
Arachnophobia,Spider-Man 3,Jungle Shuffle,Army of Darkness,Spider-Man,Charlotte's Web,Losin' It,"McFarland, USA",Along Came a Spider,Our Brand Is Crisis,Proof of Life
Frequency,Road to Perdition,Wonderland,White Noise,Looper,Grudge Match,Demonic,Fetching Cody,Street Kings,Rodeo Girl,RoboCop
Vacation,National Lampoon's Vacation,Horrible Bosses 2,Jurassic World,Dangerous Liaisons,Karachi se Lahore,Jurassic Park,Miss March,Johnson Family Vacation,Flirting with Disaster,Blue Like Jazz
Get Shorty,Wag the Dog,Married Life,Dude Where's My Dog?,Big Fat Liar,Accidental Love,Harry Potter and the Goblet of Fire,Scream,King Kong,Harry Potter and the Philosopher's Stone,The Kentucky Fried Movie
Chicago,The Life of David Gale,Half Past Dead,The Green Mile,Dead Man Walking,London to Brighton,Elmer Gantry,Monster's Ball,The Battle of Shaker Heights,Kevin Hart: Laugh at My Pain,The Apparition
Big Daddy,Garfield,Horrible Bosses 2,You Again,The Omen,"Legally Blonde 2: Red, White & Blonde",The Names of Love,Lilo & Stitch,Defendor,Dangerous Liaisons,World's Greatest Dad
American Pie 2,American Wedding,The Rookie,My Boss's Daughter,Half Baked,American Reunion,Madison,Batman,Defendor,Triple 9,Deck the Halls
Toy Story,Toy Story 3,Toy Story 2,The 40 Year Old Virgin,Factory Girl,Man on the Moon,Class of 1984,Heartbeeps,For Your Consideration,Losin' It,In the Shadow of the Moon
Speed,Blast from the Past,Volcano,Water & Power,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Escape from L.A.,Shade,Get on the Bus,Jingle All the Way,DodgeBall: A True Underdog Story,Bang
The Vow,Not Easily Broken,Planet of the Apes,The Last Station,The Yards,The Prince & Me,Rabbit Hole,Submarine,The Story of Us,The Producers,Angel Eyes
Extraordinary Measures,Dr. Dolittle 2,Everything Put Together,Metropolis,But I'm a Cheerleader,Regression,Boiler Room,Baby Mama,Conspiracy Theory,Dance Flick,Jonah Hex
Remember the Titans,When the Game Stands Tall,Facing the Giants,We Are Marshall,The Waterboy,Criminal Activities,My Baby's Daddy,Starsky & Hutch,Diner,She's Gotta Have It,Maid in Manhattan
The Hunt for Red October,Patriot Games,Clear and Present Danger,Jack Ryan: Shadow Recruit,K-19: The Widowmaker,Crimson Tide,Men of Honor,The Sum of All Fears,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Quigley Down Under,Like Crazy
The Butler,Olympus Has Fallen,The Iron Lady,No End in Sight,The Green Mile,Sinister 2,GirlHouse,Martin Lawrence Live: Runteldat,When the Lights Went Out,Monster's Ball,Dick
DodgeBall: A True Underdog Story,Saving Private Perez,Reno 911!: Miami,The Blood of Heroes,Beyond the Valley of the Dolls,Shin Godzilla,Camping Sauvage,Epic,Get Him to the Greek,National Lampoon's Loaded Weapon 1,The Pirates! In an Adventure with Scientists!
The Addams Family,Patch Adams,Boogie Nights,Rumble in the Bronx,DysFunktional Family,We're the Millers,Don McKay,Cutthroat Island,Darling Lili,Silent House,Stormbreaker
Ace Ventura: When Nature Calls,The Golden Child,Ace Ventura: Pet Detective,Failure to Launch,Princess Mononoke,Apocalypto,Cold Mountain,Megaforce,Stand by Me,Top Gun,How High
The Princess Diaries,Mirrormask,The Diary of a Teenage Girl,Hanna,Fish Tank,Groove,Hard Candy,Tiger Orange,Joy,The Crime of Padre Amaro,Almost Famous
The First Wives Club,American Beauty,Wild Grass,Hustle & Flow,The Four Seasons,The Apartment,The Giver,Are We There Yet?,Burnt,What's Your Number?,Breakin' All the Rules
Se7en,The Cell,Copycat,The Bone Collector,My Soul to Take,2:13,Eye of the Beholder,The Howling,Child's Play 2,Righteous Kill,Switchback
District 9,Duma,Cry Freedom,Faith Like Potatoes,Mandela: Long Walk to Freedom,Megaforce,The Informant!,Meet Dave,Gerry,Two Brothers,Out of Africa
The SpongeBob SquarePants Movie,Reservoir Dogs,The Back-Up Plan,Three Kingdoms: Resurrection of the Dragon,The Peanuts Movie,My Boss's Daughter,The Boy,Live and Let Die,Mary Reilly,What Women Want,Where the Wild Things Are
Mystic River,The Muppet Christmas Carol,White Fang,The Dead Zone,First Knight,Grand Theft Parsons,Cloud Atlas,Broken Horses,Seven Pounds,The Big Wedding,Brooklyn Rules
Million Dollar Baby,Bless the Child,Maggie,Herbie Fully Loaded,The Fighter,Dear Frankie,Love & Other Drugs,The Devil's Own,The Dirties,Hide and Seek,It's All Gone Pete Tong
Analyze This,Analyze That,The Kentucky Fried Movie,Transformers: Dark of the Moon,Deadline - U.S.A.,Police Academy: Mission to Moscow,Life or Something Like It,The Greatest,Gods and Generals,The Last Godfather,Supporting Characters
The Notebook,Two Brothers,The Railway Man,Proud,Memoirs of a Geisha,Red Tails,Unbroken,The Switch,Little Boy,Letters from Iwo Jima,The Longest Ride
27 Dresses,Someone Like You...,It's Complicated,Becoming Jane,Fun with Dick and Jane,Blue Car,New York Minute,The Wedding Date,Shame,Not Another Teen Movie,The Theory of Everything
Hannah Montana: The Movie,Antiviral,Made of Honor,Justin Bieber: Never Say Never,The Last King of Scotland,Monkeybone,Wicked Blood,The Lady from Shanghai,Hoot,Sleepover,Gods and Monsters
Rugrats in Paris: The Movie,The Rugrats Movie,Monkeybone,Friday the 13th Part VI: Jason Lives,Warrior,8 Heads in a Duffel Bag,The Good Guy,Clockstoppers,The Hangover Part II,Date Night,Friday the 13th: A New Beginning
The Prince of Tides,Mary Reilly,Shallow Hal,Dutch Kills,Annie Hall,Love in the Time of Cholera,Rachel Getting Married,The Heart of Me,The Assassin,Crazy/Beautiful,Say It Isn't So
Legends of the Fall,Journey from the Fall,The Color Purple,Ayurveda: Art of Being,Beyond Borders,Ararat,The Legend of Hercules,Pocahontas,Little Boy,"The Book of Mormon Movie, Volume 1: The Journey",Cradle Will Rock
Up in the Air,Warriors of Virtue,Kiss the Bride,Whatever It Takes,Summer Catch,New York Minute,Boys and Girls,Hidden Away,Jack Ryan: Shadow Recruit,Patriot Games,Clear and Present Danger
About Schmidt,The Front Page,The Names of Love,Dragonfly,1982,What Dreams May Come,3 Days to Kill,But I'm a Cheerleader,You Will Meet a Tall Dark Stranger,Flying By,The Claim
Warm Bodies,The Transporter,Truth or Dare,Night of the Living Dead,The Walking Deceased,Homefront,Juliet and Alfa Romeo,Pride and Prejudice and Zombies,Ratatouille,Saw,Dawn of the Dead
Looper,Orgazmo,Bangkok Dangerous,Joe Somebody,Mighty Joe Young,Joe Dirt,The Game Plan,"Fat, Sick & Nearly Dead",Timecop,Stone Cold,Frequency
Down to Earth,Funny People,Fifty Shades of Black,"Definitely, Maybe",Wuthering Heights,Shopgirl,Chasing Amy,When Did You Last See Your Father?,American Splendor,The Diary of a Teenage Girl,Hot Tub Time Machine 2
Babe,Babe: Pig in the City,Sex Drive,Good Boy!,Zookeeper,The Boondock Saints II: All Saints Day,The Front Page,The Names of Love,Max Keeble's Big Move,Mr. Deeds,This Is England
Hope Springs,Larry Crowne,The Story of Us,The Four Seasons,Why Did I Get Married?,Once Upon a Time in America,Lolita,Sideways,The Torture Chamber of Dr. Sadism,Should've Been Romeo,Coffee Town
Forgetting Sarah Marshall,The Amazing Spider-Man 2,Hook,Due Date,The Amazing Spider-Man,Trucker,Bringing Down the House,"I Love You, Man",Silent House,The Sweetest Thing,Pan
Four Brothers,Perrier’s Bounty,In the Company of Men,The Last House on the Left,3 Ninjas Kick Back,The Scorpion King,The Crow,Bad Words,The Tempest,The Best of Me,The Beastmaster
Baby Mama,Metropolis,My Summer of Love,Straightheads,Indignation,The Deer Hunter,Romance & Cigarettes,The Big Parade,Jersey Girl,Eyes Wide Shut,Enough
Hope Floats,Things We Lost in the Fire,"Run, Hide, Die",Tusk,Walking and Talking,Harsh Times,Duma,Ghost World,Ben-Hur,The Gift,Harry Brown
Bride Wars,Light from the Darkroom,The Dirties,Mallrats,No Strings Attached,Monsters University,L!fe Happens,Sex Drive,This Is England,Kicks,Kiss the Bride
Without a Paddle,Apollo 13,The Business of Fancydancing,Sinbad: Legend of the Seven Seas,The Big Bounce,"The Good, the Bad and the Ugly",Stand by Me,Rust,No Country for Old Men,The Sisterhood of the Traveling Pants 2,The Butterfly Effect
13 Going on 30,Stitches,Coffee Town,Baggage Claim,American Pie,Liar Liar,The Dirties,Once Upon a Time in America,Hope Springs,Dallas Buyers Club,Hide and Seek
Midnight in Paris,16 to Life,The Conjuring,There's Always Woodstock,About Last Night,The Big Wedding,One Day,Christmas Mail,The Pirate,Pretty Woman,Solitary Man
The Nut Job,Jurassic World,Jurassic Park,Meet the Deedles,Yogi Bear,The Jacket,The Way Way Back,Stuart Little 2,The Conspirator,Antiviral,Adventureland
Blow,It's a Wonderful Life,Psycho Beach Party,The Doors,Two Weeks Notice,"Girl, Interrupted",George of the Jungle,Dead Like Me: Life After Death,A Single Man,Curious George,Niagara
Message in a Bottle,Conversations with Other Women,Dark City,The Wedding Planner,The Butterfly Effect,13 Hours: The Secret Soldiers of Benghazi,The House of Mirth,Restless,The Holiday,Letters to Juliet,Oscar and Lucinda
Star Trek V: The Final Frontier,Star Trek III: The Search for Spock,Star Trek VI: The Undiscovered Country,Star Trek Into Darkness,Star Trek IV: The Voyage Home,Hellraiser,The Fighter,Vampire in Brooklyn,Star Trek: The Motion Picture,Reservoir Dogs,Star Trek
Like Mike,Children of Heaven,Little Man,Barbershop,Barbershop 2:  Back in Business,Ordinary People,Sex With Strangers,The Santa Clause 2,Juwanna Mann,New in Town,The Santa Clause
The Naked Gun 33⅓: The Final Insult,Hot Rod,The Transporter Refueled,Robot & Frank,Everybody's Fine,The Naked Gun 2½: The Smell of Fear,The Punisher,Transporter 2,Catch Me If You Can,In & Out,Bringing Out the Dead
A View to a Kill,The Spy Who Loved Me,Live and Let Die,GoldenEye,Octopussy,You Only Live Twice,The Living Daylights,For Your Eyes Only,Never Say Never Again,Thunderball,Diamonds Are Forever
The Curse of the Were-Rabbit,The Skeleton Key,Twixt,Spider,Doug's 1st Movie,The Way Way Back,A Monster in Paris,Hidalgo,Thank You for Smoking,Adventureland,UHF
P.S. I Love You,Wild,Appaloosa,Everything Must Go,"Yours, Mine and Ours",One Missed Call,The Giver,The Day After Tomorrow,Things We Lost in the Fire,I Am Legend,Memoirs of an Invisible Man
Racing Stripes,Khumba,Ordet,You Again,Hanna,The Wendell Baker Story,Modern Times,The Horseman on the Roof,Fat Albert,Juno,Nim's Island
Atonement,Big,The Looking Glass,Survivor,Thirteen,Dutch Kills,Diamond Ruff,The Age of Adaline,After Earth,Archaeology of a Woman,Sympathy for Lady Vengeance
Letters to Juliet,Romeo + Juliet,Scary Movie 4,Chain Letter,Heavenly Creatures,Street Fighter: The Legend of Chun-Li,Danny Collins,Easy A,Message in a Bottle,National Lampoon's Vacation,Taken
Black Rain,Memoirs of a Geisha,The Lives of Others,Letters from Iwo Jima,City of Life and Death,Ca$h,Showdown in Little Tokyo,Brother,Tora! Tora! Tora!,Unbroken,Deuces Wild
The Three Stooges,Top Five,Meet Dave,The Truman Show,The Orphanage,Network,Night at the Museum: Battle of the Smithsonian,Getaway,Night at the Museum,A Serious Man,Everything Put Together
Corpse Bride,Les Misérables,Snow Flower and the Secret Fan,Monte Carlo,Cheri,Mississippi Mermaid,Rebecca,Krull,Bandidas,The Age of Innocence,The Elephant Man
Glory Road,The Mighty Macs,"McFarland, USA",Bring It On,The Other Dream Team,Semi-Pro,He Got Game,The Waterboy,Air Bud,Coach Carter,The Longest Yard
Sicario,The X Files: I Want to Believe,Let Me In,Bad Company,The Last Shot,Savages,Switchback,The Guard,Double Take,Showgirls,Suspect Zero
Southpaw,Young Guns,Babel,Beverly Hills Cop III,Broken City,Moneyball,Metropolis,Rocky,Something Wicked,3 Days to Kill,The Hunchback of Notre Dame
Drag Me to Hell,Changeling,The Phantom of the Opera,Thinner,The Frozen,End of Days,Special,The Ruins,Baby Geniuses,A Charlie Brown Christmas,The Helpers
The Age of Adaline,At First Sight,Peaceful Warrior,Hard Candy,Bad Grandpa,Atonement,Happy Christmas,Fish Tank,"I Love You, Don't Touch Me!",The Long Kiss Goodnight,The Straight Story
Secondhand Lions,Bogus,The Night Listener,Witchboard,Endless Love,Letters to God,Shipwrecked,Hands of Stone,A Nightmare on Elm Street Part 2: Freddy's Revenge,Shorts,A Shine of Rainbows
Step Up 3D,You Got Served,Brown Sugar,Secret in Their Eyes,Battle of the Year,The Matador,Center Stage,Laws of Attraction,All the Pretty Horses,Mutual Friends,Tupac: Resurrection
Blue Crush,Anne of Green Gables,Amour,High Tension,The Chambermaid on the Titanic,Poltergeist III,The Flower of Evil,Marie Antoinette,Soul Surfer,Impact Point,The Bourne Supremacy
Stranger Than Fiction,A Very Harold & Kumar Christmas,Harold & Kumar Escape from Guantanamo Bay,What Planet Are You From?,Nine 1/2 Weeks,The Sea Inside,Breakin' All the Rules,Son of God,The Sticky Fingers of Time,Interview with the Vampire,Fat Albert
